,date,confirmed,deaths,recovered
2020-04-06,2020-04-06,4778.0,136.0,375.0
2020-04-07,2020-04-07,5311.0,150.0,421.0
2020-04-08,2020-04-08,5916.0,178.0,506.0
2020-04-09,2020-04-09,6725.0,226.0,620.0
2020-04-10,2020-04-10,7598.0,246.0,774.0
2020-04-11,2020-04-11,8446.0,288.0,969.0
2020-04-12,2020-04-12,9205.0,331.0,1080.0
2020-04-13,2020-04-13,10453.0,358.0,1181.0
2020-04-14,2020-04-14,11487.0,393.0,1359.0
2020-04-15,2020-04-15,12322.0,405.0,1432.0
2020-04-16,2020-04-16,13430.0,448.0,1768.0
2020-04-17,2020-04-17,14352.0,486.0,2041.0
2020-04-18,2020-04-18,15722.0,521.0,2463.0
2020-04-19,2020-04-19,17615.0,559.0,2854.0
2020-04-20,2020-04-20,18539.0,592.0,3273.0
2020-04-21,2020-04-21,20080.0,645.0,3975.0
2020-04-22,2020-04-22,21370.0,681.0,4370.0
2020-04-23,2020-04-23,23077.0,721.0,5012.0
2020-04-24,2020-04-24,24530.0,780.0,5498.0
2020-04-25,2020-04-25,26283.0,825.0,5939.0
2020-04-26,2020-04-26,27890.0,881.0,6523.0
2020-04-27,2020-04-27,29451.0,939.0,7137.0
2020-04-28,2020-04-28,31324.0,1008.0,7747.0
2020-04-29,2020-04-29,33062.0,1079.0,8437.0
2020-04-30,2020-04-30,34863.0,1154.0,9068.0
2020-05-01,2020-05-01,37257.0,1223.0,10007.0
2020-05-02,2020-05-02,39699.0,1323.0,10819.0
2020-05-03,2020-05-03,42505.0,1391.0,11775.0
2020-05-04,2020-05-04,46437.0,1566.0,12847.0
2020-05-05,2020-05-05,49400.0,1693.0,14142.0
2020-05-06,2020-05-06,52987.0,1785.0,15331.0
2020-05-07,2020-05-07,56351.0,1889.0,16776.0
2020-05-08,2020-05-08,59695.0,1985.0,17887.0
2020-05-09,2020-05-09,62808.0,2101.0,19301.0
2020-05-10,2020-05-10,67161.0,2212.0,20969.0
2020-05-11,2020-05-11,70768.0,2294.0,22549.0
2020-05-12,2020-05-12,74292.0,2415.0,24420.0
2020-05-13,2020-05-13,78055.0,2551.0,26400.0
2020-05-14,2020-05-14,81997.0,2649.0,27969.0
2020-05-15,2020-05-15,85784.0,2753.0,30258.0
2020-05-16,2020-05-16,90648.0,2871.0,34224.0
2020-05-17,2020-05-17,95698.0,3025.0,36795.0
2020-05-18,2020-05-18,100328.0,3156.0,39233.0
2020-05-19,2020-05-19,106475.0,3302.0,42309.0
2020-05-20,2020-05-20,112028.0,3434.0,45422.0
2020-05-21,2020-05-21,118226.0,3584.0,48553.0
2020-05-22,2020-05-22,124794.0,3726.0,51824.0
2020-05-23,2020-05-23,131423.0,3868.0,54385.0
2020-05-24,2020-05-24,138536.0,4024.0,57692.0
2020-05-25,2020-05-25,144950.0,4172.0,60706.0
2020-05-26,2020-05-26,150793.0,4344.0,64277.0
2020-05-27,2020-05-27,158086.0,4534.0,67749.0
2020-05-28,2020-05-28,165386.0,4711.0,70920.0
2020-05-29,2020-05-29,173491.0,4980.0,82627.0
2020-05-30,2020-05-30,181827.0,5185.0,86936.0
2020-05-31,2020-05-31,190609.0,5408.0,91852.0
2020-06-01,2020-06-01,198370.0,5608.0,95754.0
2020-06-02,2020-06-02,207191.0,5829.0,100285.0
2020-06-03,2020-06-03,216824.0,6088.0,104071.0
2020-06-04,2020-06-04,226713.0,6363.0,108450.0
2020-06-05,2020-06-05,236184.0,6649.0,113233.0
2020-06-06,2020-06-06,246622.0,6946.0,118695.0
2020-06-07,2020-06-07,257486.0,7207.0,123848.0
2020-06-08,2020-06-08,265928.0,7473.0,129095.0
2020-06-09,2020-06-09,276146.0,7750.0,134670.0
2020-06-10,2020-06-10,276583.0,7745.0,135206.0
2020-06-11,2020-06-11,297535.0,8498.0,147195.0
2020-06-12,2020-06-12,297535.0,8498.0,147195.0
2020-06-13,2020-06-13,308993.0,8884.0,154330.0
2020-06-14,2020-06-14,320922.0,9195.0,162379.0
2020-06-15,2020-06-15,343091.0,9900.0,180013.0
2020-06-16,2020-06-16,354065.0,11903.0,186935.0
2020-06-17,2020-06-17,366946.0,12237.0,194325.0
2020-06-18,2020-06-18,380532.0,12573.0,204711.0
2020-06-19,2020-06-19,395048.0,12948.0,213831.0
2020-06-20,2020-06-20,410461.0,13254.0,227756.0
2020-06-21,2020-06-21,425282.0,13699.0,237196.0
2020-06-22,2020-06-22,440215.0,14011.0,248190.0
2020-06-23,2020-06-23,456183.0,14476.0,258685.0
2020-06-24,2020-06-24,473105.0,14894.0,271697.0
2020-06-25,2020-06-25,490401.0,15301.0,285637.0
2020-06-26,2020-06-26,508953.0,15685.0,295881.0
