,date,confirmed,deaths,recovered
2020-04-18,2020-04-18,36793.0,313.0,3057.0
2020-04-19,2020-04-19,42853.0,361.0,3291.0
2020-04-20,2020-04-20,47121.0,405.0,3446.0
2020-04-21,2020-04-21,52763.0,456.0,3873.0
2020-04-22,2020-04-22,57999.0,513.0,4420.0
2020-04-23,2020-04-23,62773.0,555.0,4891.0
2020-04-24,2020-04-24,68622.0,615.0,5568.0
2020-04-25,2020-04-25,74588.0,681.0,6250.0
2020-04-26,2020-04-26,80949.0,747.0,6767.0
2020-04-27,2020-04-27,87147.0,794.0,7346.0
2020-04-28,2020-04-28,93558.0,867.0,8456.0
2020-04-29,2020-04-29,99399.0,972.0,10286.0
2020-04-30,2020-04-30,106498.0,1073.0,11619.0
2020-05-01,2020-05-01,114431.0,1169.0,13220.0
2020-05-02,2020-05-02,124054.0,1222.0,15013.0
2020-05-03,2020-05-03,134687.0,1280.0,16639.0
2020-05-04,2020-05-04,145268.0,1356.0,18095.0
2020-05-05,2020-05-05,155370.0,1451.0,19865.0
2020-05-06,2020-05-06,165929.0,1537.0,21327.0
2020-05-07,2020-05-07,177160.0,1625.0,23803.0
2020-05-08,2020-05-08,187859.0,1723.0,26608.0
2020-05-09,2020-05-09,198676.0,1827.0,31916.0
2020-05-10,2020-05-10,209688.0,1915.0,34306.0
2020-05-11,2020-05-11,221344.0,2009.0,39801.0
2020-05-12,2020-05-12,232243.0,2116.0,43512.0
2020-05-13,2020-05-13,242271.0,2212.0,48003.0
2020-05-14,2020-05-14,252245.0,2305.0,53530.0
2020-05-15,2020-05-15,262843.0,2418.0,58226.0
2020-05-16,2020-05-16,272043.0,2537.0,63166.0
2020-05-17,2020-05-17,281752.0,2631.0,67373.0
2020-05-18,2020-05-18,290678.0,2722.0,70209.0
2020-05-19,2020-05-19,299941.0,2837.0,76130.0
2020-05-20,2020-05-20,308705.0,2972.0,85392.0
2020-05-21,2020-05-21,317554.0,3099.0,92681.0
2020-05-22,2020-05-22,326448.0,3249.0,99825.0
2020-05-23,2020-05-23,335882.0,3388.0,107936.0
2020-05-24,2020-05-24,344481.0,3541.0,113299.0
2020-05-25,2020-05-25,353427.0,3633.0,118798.0
2020-05-26,2020-05-26,362342.0,3807.0,131129.0
2020-05-27,2020-05-27,370680.0,3968.0,142208.0
2020-05-28,2020-05-28,379051.0,4142.0,150993.0
2020-05-29,2020-05-29,387623.0,4374.0,159257.0
2020-05-30,2020-05-30,396575.0,4555.0,167469.0
2020-05-31,2020-05-31,405843.0,4693.0,171883.0
2020-06-01,2020-06-01,414328.0,4849.0,175514.0
2020-06-02,2020-06-02,423186.0,5031.0,186602.0
2020-06-03,2020-06-03,431715.0,5208.0,195559.0
2020-06-04,2020-06-04,440538.0,5376.0,204197.0
2020-06-05,2020-06-05,449256.0,5520.0,212237.0
2020-06-06,2020-06-06,458102.0,5717.0,220935.0
2020-06-07,2020-06-07,467073.0,5851.0,226272.0
2020-06-08,2020-06-08,476043.0,5963.0,230226.0
2020-06-09,2020-06-09,484630.0,6134.0,241917.0
2020-06-10,2020-06-10,493023.0,6350.0,252295.0
2020-06-11,2020-06-11,501800.0,6522.0,260649.0
2020-06-12,2020-06-12,510761.0,6705.0,268862.0
2020-06-13,2020-06-13,519458.0,6819.0,274128.0
2020-06-14,2020-06-14,528267.0,6938.0,279536.0
2020-06-15,2020-06-15,536484.0,7081.0,284021.0
2020-06-16,2020-06-16,544725.0,7274.0,293780.0
2020-06-17,2020-06-17,552549.0,7468.0,303800.0
2020-06-18,2020-06-18,560321.0,7650.0,313409.0
2020-06-19,2020-06-19,568292.0,7831.0,323851.0
2020-06-20,2020-06-20,576162.0,7992.0,334024.0
2020-06-21,2020-06-21,583879.0,8101.0,339142.0
2020-06-22,2020-06-22,591465.0,8196.0,343847.0
2020-06-23,2020-06-23,598878.0,8349.0,355847.0
2020-06-24,2020-06-24,606043.0,8503.0,368222.0
2020-06-25,2020-06-25,613148.0,8594.0,374557.0
2020-06-26,2020-06-26,619936.0,8770.0,383524.0
2020-06-27,2020-06-27,626779.0,8958.0,392703.0
2020-06-28,2020-06-28,633563.0,9060.0,398436.0
2020-06-29,2020-06-29,640246.0,9152.0,402778.0
2020-06-30,2020-06-30,646929.0,9306.0,411973.0
2020-07-01,2020-07-01,653479.0,9521.0,422235.0
2020-07-02,2020-07-02,660231.0,9668.0,428276.0
2020-07-03,2020-07-03,666941.0,9844.0,437155.0
2020-07-04,2020-07-04,673564.0,10011.0,446127.0
2020-07-05,2020-07-05,680283.0,10145.0,449995.0
2020-07-06,2020-07-06,686852.0,10280.0,453570.0
2020-07-07,2020-07-07,693215.0,10478.0,463103.0
2020-07-08,2020-07-08,699749.0,10650.0,471718.0
2020-07-09,2020-07-09,706240.0,10826.0,480494.0
2020-07-10,2020-07-10,712863.0,11000.0,488234.0
2020-07-11,2020-07-11,719449.0,11188.0,496594.0
2020-07-12,2020-07-12,726036.0,11318.0,500208.0
2020-07-13,2020-07-13,732547.0,11422.0,503168.0
2020-07-14,2020-07-14,738787.0,11597.0,511958.0
2020-07-15,2020-07-15,745197.0,11753.0,522375.0
2020-07-16,2020-07-16,751612.0,11920.0,530801.0
2020-07-17,2020-07-17,758001.0,12106.0,538467.0
2020-07-18,2020-07-18,764215.0,12228.0,545909.0
2020-07-19,2020-07-19,770311.0,12323.0,549387.0
2020-07-20,2020-07-20,776212.0,12408.0,552644.0
2020-07-21,2020-07-21,782040.0,12561.0,561397.0
2020-07-22,2020-07-22,787890.0,12726.0,571049.0
2020-07-23,2020-07-23,793720.0,12873.0,579295.0
2020-07-24,2020-07-24,799499.0,13026.0,587728.0
2020-07-25,2020-07-25,805332.0,13172.0,596064.0
2020-07-26,2020-07-26,811073.0,13249.0,599172.0
2020-07-27,2020-07-27,816680.0,13334.0,602249.0
2020-07-28,2020-07-28,822060.0,13483.0,611109.0
2020-07-29,2020-07-29,827509.0,13650.0,619204.0
2020-07-30,2020-07-30,832993.0,13778.0,628482.0
2020-07-31,2020-07-31,838461.0,13939.0,637217.0
2020-08-01,2020-08-01,843890.0,14034.0,645316.0
2020-08-02,2020-08-02,849277.0,14104.0,648961.0
2020-08-03,2020-08-03,854641.0,14183.0,652372.0
2020-08-04,2020-08-04,859762.0,14327.0,660235.0
2020-08-05,2020-08-05,864948.0,14465.0,667769.0
2020-08-06,2020-08-06,870187.0,14579.0,675069.0
2020-08-07,2020-08-07,875378.0,14698.0,682278.0
2020-08-08,2020-08-08,880563.0,14827.0,688856.0
2020-08-09,2020-08-09,885718.0,14903.0,692059.0
2020-08-10,2020-08-10,890799.0,14973.0,695317.0
2020-08-11,2020-08-11,895691.0,15103.0,701796.0
2020-08-12,2020-08-12,900745.0,15231.0,708900.0
2020-08-13,2020-08-13,905762.0,15353.0,714934.0
2020-08-14,2020-08-14,910778.0,15467.0,721473.0
2020-08-15,2020-08-15,915808.0,15585.0,727895.0
2020-08-16,2020-08-16,920719.0,15653.0,731444.0
2020-08-17,2020-08-17,925558.0,15707.0,734573.0
2020-08-18,2020-08-18,930276.0,15836.0,741045.0
2020-08-19,2020-08-19,935066.0,15951.0,747802.0
2020-08-20,2020-08-20,939833.0,16058.0,753868.0
2020-08-21,2020-08-21,944671.0,16148.0,759639.0
2020-08-22,2020-08-22,949531.0,16268.0,765754.0
2020-08-23,2020-08-23,954328.0,16341.0,768906.0
2020-08-24,2020-08-24,959016.0,16406.0,771357.0
2020-08-25,2020-08-25,963655.0,16524.0,777960.0
2020-08-26,2020-08-26,968297.0,16638.0,784277.0
2020-08-27,2020-08-27,972972.0,16758.0,790629.0
2020-08-28,2020-08-28,977730.0,16866.0,796498.0
2020-08-29,2020-08-29,982573.0,16977.0,802365.0
2020-08-30,2020-08-30,987470.0,17045.0,804941.0
2020-08-31,2020-08-31,992402.0,17128.0,807339.0
